,limite,cuenta_corriente,escolaridad,estado_civil,edad,valor_factura,valor_pago,moroso,iu,rango_edad
0,6022,Si,2.Universidad,Casado/a,24,934.0122,0.0,1,0.1551,20-30
1,36132,Si,2.Universidad,Soltero/a,26,519.3975,0.0,1,0.014375,20-30
2,27099,Si,2.Universidad,Soltero/a,34,4223.5297,457.0698,0,0.15585555555555555,30-40
3,15055,Si,2.Universidad,Casado/a,37,14522.9563,602.2,0,0.96466,30-40
4,150550,No,3.Pos-graduacion,Soltero/a,29,124060.1253,16560.5,0,0.824046,20-30
5,30110,Si,2.Universidad,Soltero/a,23,114.418,114.418,0,0.0038000000000000004,20-30
6,42154,Si,1.Colegio,Casado/a,28,4244.3056,1002.3619,0,0.10068571428571428,20-30
7,60220,Si,1.Colegio,Soltero/a,34,2946.8657,694.3366,0,0.048935,30-40
8,78286,Si,3.Pos-graduacion,Soltero/a,51,6524.837,6524.837,0,0.08334615384615385,50+
9,189693,Si,2.Universidad,Soltero/a,41,1957.15,301.1,0,0.010317460317460317,40-50
10,21077,No,2.Universidad,Soltero/a,30,20284.8059,963.52,0,0.9624142857142857,20-30
11,75275,No,3.Pos-graduacion,Soltero/a,29,20191.766,903.3,0,0.26824,20-30
12,6022,No,3.Pos-graduacion,Soltero/a,24,5422.811,963.52,0,0.9005,20-30
13,96352,No,3.Pos-graduacion,Casado/a,49,74231.9896,3118.7938,0,0.770425,40-50
14,39143,Si,1.Colegio,Soltero/a,39,8336.8568,903.3,0,0.21298461538461538,30-40
15,36132,Si,2.Universidad,Casado/a,39,95.1476,95.1476,0,0.0026333333333333334,30-40
16,21077,Si,2.Universidad,Soltero/a,26,12780.1895,604.3077,0,0.6063571428571429,20-30
17,135495,Si,3.Pos-graduacion,Casado/a,40,5847.362,5847.362,0,0.04315555555555556,30-40
18,15055,No,1.Colegio,Soltero/a,23,12588.991,594.0703,0,0.8362,20-30
19,15055,Si,1.Colegio,Soltero/a,30,4859.1518,391.43,0,0.32276,20-30
20,15055,Si,1.Colegio,Casado/a,47,1028.2565,1028.2565,0,0.0683,40-50
21,15055,No,3.Pos-graduacion,Soltero/a,26,4990.7325,451.65,0,0.3315,20-30
22,69253,Si,3.Pos-graduacion,Soltero/a,27,5198.4915,5198.4915,0,0.07506521739130435,20-30
23,15055,No,2.Universidad,Soltero/a,33,8917.9798,517.2898,0,0.59236,30-40
24,30110,No,3.Pos-graduacion,Soltero/a,32,25313.7781,910.2253,0,0.84071,30-40
25,150550,Si,2.Universidad,Casado/a,54,1250.1672,1250.1672,0,0.008304,50+
26,150550,No,3.Pos-graduacion,Casado/a,58,1507.3066,1507.3066,0,0.010012,50+
27,84308,No,2.Universidad,Casado/a,40,54597.8608,2416.6286,0,0.6476000000000001,30-40
28,18066,Si,2.Universidad,Soltero/a,22,2952.5866,451.65,0,0.16343333333333335,20-30
29,84308,No,3.Pos-graduacion,Soltero/a,31,2732.4825,2732.4825,0,0.032410714285714286,30-40
30,108396,No,3.Pos-graduacion,Soltero/a,33,66632.2256,3011.0,0,0.6147111111111112,30-40
31,21077,Si,3.Pos-graduacion,Soltero/a,25,20173.3989,903.3,0,0.9571285714285714,20-30
32,3011,No,2.Universidad,Soltero/a,22,958.7024,451.65,0,0.3184,20-30
33,42154,Si,2.Universidad,Casado/a,37,18530.8984,903.3,0,0.43959999999999994,30-40
34,12044,Si,3.Pos-graduacion,Soltero/a,30,6411.9245,903.3,0,0.532375,20-30
35,6022,Si,3.Pos-graduacion,Soltero/a,22,4963.3324,903.3,0,0.8242,20-30
36,114418,No,2.Universidad,Soltero/a,32,6485.694,6485.694,0,0.056684210526315795,30-40
37,6022,No,3.Pos-graduacion,Soltero/a,24,5564.0269,396.8498,0,0.9239499999999999,20-30
38,21077,No,1.Colegio,Soltero/a,42,10891.0881,0.0,1,0.5167285714285714,40-50
39,93341,Si,2.Universidad,Casado/a,49,2368.7537,2368.7537,0,0.025377419354838712,40-50
40,54198,Si,3.Pos-graduacion,Soltero/a,25,12568.5162,391.43,0,0.2319,20-30
41,45165,Si,3.Pos-graduacion,Soltero/a,29,10536.3923,481.76,0,0.23328666666666667,20-30
42,150550,Si,3.Pos-graduacion,Casado/a,45,1096.004,1096.004,0,0.007279999999999999,40-50
43,54198,Si,1.Colegio,Casado/a,34,4755.2723,2559.35,0,0.08773888888888888,30-40
44,54198,Si,2.Universidad,Casado/a,34,52222.784,2433.7913,0,0.9635555555555555,30-40
45,60220,Si,3.Pos-graduacion,Soltero/a,34,330.6078,0.0,1,0.00549,30-40
46,150550,Si,1.Colegio,Casado/a,28,7117.4018,456.4676,0,0.047276,20-30
47,15055,No,3.Pos-graduacion,Soltero/a,29,7316.73,0.0,1,0.486,20-30
48,60220,No,3.Pos-graduacion,Casado/a,57,44788.9261,0.0,1,0.7437549999999999,50+
49,3011,No,2.Universidad,Casado/a,56,1262.5123,692.53,0,0.4193,50+
50,63231,Si,3.Pos-graduacion,Soltero/a,30,90.33,90.33,0,0.0014285714285714286,20-30
51,96352,No,2.Universidad,Soltero/a,29,17838.9706,752.75,0,0.18514375,20-30
52,102374,No,3.Pos-graduacion,Soltero/a,32,1671.105,1671.105,0,0.016323529411764705,30-40
53,6022,No,2.Universidad,Soltero/a,24,5183.7376,858.135,0,0.8608,20-30
54,15055,No,1.Colegio,Soltero/a,25,11208.4475,529.6349,0,0.7445,20-30
55,90330,Si,3.Pos-graduacion,Casado/a,45,87.6201,87.6201,0,0.0009699999999999999,40-50
56,108396,Si,3.Pos-graduacion,Soltero/a,26,8369.3756,1444.0756,0,0.0772111111111111,20-30
57,18066,No,1.Colegio,Soltero/a,30,8271.5181,474.5336,0,0.45785,20-30
58,120440,Si,2.Universidad,Casado/a,44,41870.966,3221.77,0,0.34765,40-50
59,15055,Si,1.Colegio,Soltero/a,49,14411.5493,504.6436,0,0.95726,40-50
60,48176,No,2.Universidad,Soltero/a,33,32460.9888,1324.84,0,0.6738,30-40
61,108396,Si,3.Pos-graduacion,Casado/a,45,352.287,352.287,0,0.00325,40-50
62,48176,Si,2.Universidad,Soltero/a,32,1430.5261,345.3617,0,0.02969375,30-40
63,39143,Si,3.Pos-graduacion,Casado/a,35,35489.4526,12044.0,0,0.9066615384615384,30-40
